Reference Name,Display Name,Description,Type,Usage,Is Queryable,Can Sort By,Is Identity,Is Picklist,Picklist ID,Is Picklist Suggested,Read Only,Is Locked,Supported Operations Count,URL
Microsoft.VSTS.TCM.AutomatedTestType,Automated Test Type,The type of the test that automates this test case,string,workItem,True,True,False,False,,False,False,False,19,https://dev.azure.com/1id/_apis/wit/fields/Microsoft.VSTS.TCM.AutomatedTestType
Microsoft.VSTS.TCM.AutomationStatus,Automation status,,string,workItem,True,True,False,False,,False,False,False,19,https://dev.azure.com/1id/_apis/wit/fields/Microsoft.VSTS.TCM.AutomationStatus
Microsoft.VSTS.Common.BacklogPriority,Backlog Priority,,double,workItem,True,True,False,False,,False,False,False,15,https://dev.azure.com/1id/_apis/wit/fields/Microsoft.VSTS.Common.BacklogPriority
Custom.BehaviorChange,Behavior Change,Used to identify which the work item requires documentation updates or customer communication,boolean,workItem,True,True,False,False,,False,False,False,5,https://dev.azure.com/1id/_apis/wit/fields/Custom.BehaviorChange
System.BISLinks,BIS Links,,string,workItem,False,False,False,False,,False,False,False,19,https://dev.azure.com/1id/_apis/wit/fields/System.BISLinks
Microsoft.VSTS.CMMI.Blocked,Blocked,,string,workItem,True,True,False,False,,False,False,False,19,https://dev.azure.com/1id/_apis/wit/fields/Microsoft.VSTS.CMMI.Blocked
System.BoardColumn,Board Column,,string,workItem,True,True,False,False,,False,True,False,18,https://dev.azure.com/1id/_apis/wit/fields/System.BoardColumn
System.BoardColumnDone,Board Column Done,,boolean,workItem,True,True,False,False,,False,True,False,4,https://dev.azure.com/1id/_apis/wit/fields/System.BoardColumnDone
System.BoardLane,Board Lane,,string,workItem,True,True,False,False,,False,True,False,18,https://dev.azure.com/1id/_apis/wit/fields/System.BoardLane
Custom.BugBranch,BugBranch,,string,workItem,True,True,False,False,,False,False,False,19,https://dev.azure.com/1id/_apis/wit/fields/Custom.BugBranch
